"quant_file","quant_basename","geo_accession","sample_label","tissue","group"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140486_CON1_synovium_quant.sf.txt.gz","GSM7140486_CON1_synovium_quant.sf.txt.gz","GSM7140486","CON1","synovium","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140487_ACLT1_synovium_quant.sf.txt.gz","GSM7140487_ACLT1_synovium_quant.sf.txt.gz","GSM7140487","ACLT1","synovium","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140488_ACLT2_synovium_quant.sf.txt.gz","GSM7140488_ACLT2_synovium_quant.sf.txt.gz","GSM7140488","ACLT2","synovium","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140489_ACLT3_synovium_quant.sf.txt.gz","GSM7140489_ACLT3_synovium_quant.sf.txt.gz","GSM7140489","ACLT3","synovium","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140490_ACLT4_synovium_quant.sf.txt.gz","GSM7140490_ACLT4_synovium_quant.sf.txt.gz","GSM7140490","ACLT4","synovium","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140491_CON2_synovium_quant.sf.txt.gz","GSM7140491_CON2_synovium_quant.sf.txt.gz","GSM7140491","CON2","synovium","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140492_ACLT5_synovium_quant.sf.txt.gz","GSM7140492_ACLT5_synovium_quant.sf.txt.gz","GSM7140492","ACLT5","synovium","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140493_ACLT6_synovium_quant.sf.txt.gz","GSM7140493_ACLT6_synovium_quant.sf.txt.gz","GSM7140493","ACLT6","synovium","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140494_ACLT7_synovium_quant.sf.txt.gz","GSM7140494_ACLT7_synovium_quant.sf.txt.gz","GSM7140494","ACLT7","synovium","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140495_CON3_synovium_quant.sf.txt.gz","GSM7140495_CON3_synovium_quant.sf.txt.gz","GSM7140495","CON3","synovium","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140496_ACLT8_synovium_quant.sf.txt.gz","GSM7140496_ACLT8_synovium_quant.sf.txt.gz","GSM7140496","ACLT8","synovium","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140497_ACLT9_synovium_quant.sf.txt.gz","GSM7140497_ACLT9_synovium_quant.sf.txt.gz","GSM7140497","ACLT9","synovium","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140498_ACLT10_synovium_quant.sf.txt.gz","GSM7140498_ACLT10_synovium_quant.sf.txt.gz","GSM7140498","ACLT10","synovium","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140499_ACLT11_synovium_quant.sf.txt.gz","GSM7140499_ACLT11_synovium_quant.sf.txt.gz","GSM7140499","ACLT11","synovium","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140500_CON4_synovium_quant.sf.txt.gz","GSM7140500_CON4_synovium_quant.sf.txt.gz","GSM7140500","CON4","synovium","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140501_ACLT12_synovium_quant.sf.txt.gz","GSM7140501_ACLT12_synovium_quant.sf.txt.gz","GSM7140501","ACLT12","synovium","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140502_CON5_synovium_quant.sf.txt.gz","GSM7140502_CON5_synovium_quant.sf.txt.gz","GSM7140502","CON5","synovium","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140503_RECON1_synovium_quant.sf.txt.gz","GSM7140503_RECON1_synovium_quant.sf.txt.gz","GSM7140503","RECON1","synovium","Reconstruction_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140504_RECON2_synovium_quant.sf.txt.gz","GSM7140504_RECON2_synovium_quant.sf.txt.gz","GSM7140504","RECON2","synovium","Reconstruction_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140505_RECON3_synovium_quant.sf.txt.gz","GSM7140505_RECON3_synovium_quant.sf.txt.gz","GSM7140505","RECON3","synovium","Reconstruction_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140506_RECON4_synovium_quant.sf.txt.gz","GSM7140506_RECON4_synovium_quant.sf.txt.gz","GSM7140506","RECON4","synovium","Reconstruction_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140507_CON6_synovium_quant.sf.txt.gz","GSM7140507_CON6_synovium_quant.sf.txt.gz","GSM7140507","CON6","synovium","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140508_RECON5_synovium_quant.sf.txt.gz","GSM7140508_RECON5_synovium_quant.sf.txt.gz","GSM7140508","RECON5","synovium","Reconstruction_52W"
