"zip_file","sample_id","module","status","source_filename","parse_ok","parse_note"
"CON3_R1_fastqc.zip","CON3_R1","Basic Statistics","PASS","CON3_R1.fastq.gz",TRUE,"OK"
"CON3_R1_fastqc.zip","CON3_R1","Overrepresented sequences","WARN","CON3_R1.fastq.gz",TRUE,"OK"
"CON3_R1_fastqc.zip","CON3_R1","Per base N content","PASS","CON3_R1.fastq.gz",TRUE,"OK"
"CON3_R1_fastqc.zip","CON3_R1","Per base sequence content","FAIL","CON3_R1.fastq.gz",TRUE,"OK"
"CON3_R1_fastqc.zip","CON3_R1","Per base sequence quality","PASS","CON3_R1.fastq.gz",TRUE,"OK"
"CON3_R1_fastqc.zip","CON3_R1","Per sequence GC content","PASS","CON3_R1.fastq.gz",TRUE,"OK"
"CON3_R1_fastqc.zip","CON3_R1","Per sequence quality scores","PASS","CON3_R1.fastq.gz",TRUE,"OK"
"CON3_R1_fastqc.zip","CON3_R1","Per tile sequence quality","PASS","CON3_R1.fastq.gz",TRUE,"OK"
"CON3_R1_fastqc.zip","CON3_R1","Sequence Duplication Levels","FAIL","CON3_R1.fastq.gz",TRUE,"OK"
"CON3_R1_fastqc.zip","CON3_R1","Sequence Length Distribution","PASS","CON3_R1.fastq.gz",TRUE,"OK"
"CON3_R2_fastqc.zip","CON3_R2","Adapter Content","PASS","CON3_R2.fastq.gz",TRUE,"OK"
"CON3_R2_fastqc.zip","CON3_R2","Basic Statistics","PASS","CON3_R2.fastq.gz",TRUE,"OK"
"CON3_R2_fastqc.zip","CON3_R2","Overrepresented sequences","PASS","CON3_R2.fastq.gz",TRUE,"OK"
"CON3_R2_fastqc.zip","CON3_R2","Per base N content","FAIL","CON3_R2.fastq.gz",TRUE,"OK"
"CON3_R2_fastqc.zip","CON3_R2","Per base sequence content","FAIL","CON3_R2.fastq.gz",TRUE,"OK"
"CON3_R2_fastqc.zip","CON3_R2","Per base sequence quality","PASS","CON3_R2.fastq.gz",TRUE,"OK"
"CON3_R2_fastqc.zip","CON3_R2","Per sequence GC content","PASS","CON3_R2.fastq.gz",TRUE,"OK"
"CON3_R2_fastqc.zip","CON3_R2","Per sequence quality scores","PASS","CON3_R2.fastq.gz",TRUE,"OK"
"CON3_R2_fastqc.zip","CON3_R2","Per tile sequence quality","FAIL","CON3_R2.fastq.gz",TRUE,"OK"
"CON3_R2_fastqc.zip","CON3_R2","Sequence Duplication Levels","FAIL","CON3_R2.fastq.gz",TRUE,"OK"
"CON3_R2_fastqc.zip","CON3_R2","Sequence Length Distribution","PASS","CON3_R2.fastq.gz",TRUE,"OK"
"CON4_R1_fastqc.zip","CON4_R1","Adapter Content","PASS","CON4_R1.fastq.gz",TRUE,"OK"
"CON4_R1_fastqc.zip","CON4_R1","Basic Statistics","PASS","CON4_R1.fastq.gz",TRUE,"OK"
"CON4_R1_fastqc.zip","CON4_R1","Overrepresented sequences","PASS","CON4_R1.fastq.gz",TRUE,"OK"
"CON4_R1_fastqc.zip","CON4_R1","Per base N content","PASS","CON4_R1.fastq.gz",TRUE,"OK"
"CON4_R1_fastqc.zip","CON4_R1","Per base sequence content","FAIL","CON4_R1.fastq.gz",TRUE,"OK"
"CON4_R1_fastqc.zip","CON4_R1","Per base sequence quality","PASS","CON4_R1.fastq.gz",TRUE,"OK"
"CON4_R1_fastqc.zip","CON4_R1","Per sequence GC content","PASS","CON4_R1.fastq.gz",TRUE,"OK"
"CON4_R1_fastqc.zip","CON4_R1","Per sequence quality scores","PASS","CON4_R1.fastq.gz",TRUE,"OK"
"CON4_R1_fastqc.zip","CON4_R1","Per tile sequence quality","PASS","CON4_R1.fastq.gz",TRUE,"OK"
"CON4_R1_fastqc.zip","CON4_R1","Sequence Duplication Levels","FAIL","CON4_R1.fastq.gz",TRUE,"OK"
"CON4_R1_fastqc.zip","CON4_R1","Sequence Length Distribution","PASS","CON4_R1.fastq.gz",TRUE,"OK"
"CON4_R2_fastqc.zip","CON4_R2","Adapter Content","PASS","CON4_R2.fastq.gz",TRUE,"OK"
"CON4_R2_fastqc.zip","CON4_R2","Basic Statistics","PASS","CON4_R2.fastq.gz",TRUE,"OK"
